X,Y,PHI
1.60015,-0.000522554,-0.000938181
1.61096,-0.000532688,-0.000938231
1.63683,-0.000556961,-0.000938263
1.66269,-0.000581223,-0.000938272
1.68837,-0.00060532,-0.000938274
1.71476,-0.000630088,-0.000938275
1.74414,-0.000657651,-0.000938275
1.76773,-0.00067978,-0.000938275
1.79491,-0.000705289,-0.00095441
1.82264,-0.000731757,-0.000975347
1.85942,-0.000767625,-0.00100478
1.87624,-0.000784522,-0.00103874
1.90353,-0.00081287,-0.00110294
1.92759,-0.000839412,-0.00116091
1.95721,-0.000873795,-0.00117971
1.99757,-0.000921414,-0.00109416
2.02428,-0.000950631,-0.000944466
2.04128,-0.000966694,-0.000815942
2.06878,-0.000989132,-0.000595771
2.0981,-0.0010066,-0.000420345
2.13274,-0.00102116,-0.000288123
2.15885,-0.00102868,-0.000261501
2.18613,-0.00103581,-0.000298767
2.21689,-0.001045,-0.000426822
2.24496,-0.00105699,-0.000593303
2.29218,-0.001085,-0.000920631
2.32562,-0.00111578,-0.00118024
2.33397,-0.00112564,-0.00124728
2.36347,-0.00116244,-0.00147058
2.39495,-0.00120874,-0.00163616
2.42825,-0.00126322,-0.00171854
2.45364,-0.00130685,-0.00168122
2.48631,-0.00136178,-0.0015311
2.51417,-0.00140444,-0.00133681
2.54426,-0.00144465,-0.00112456
2.57576,-0.00148008,-0.000903152
2.61266,-0.00151341,-0.000702224
2.63788,-0.00153112,-0.000614363
2.67212,-0.00155215,-0.000513898
2.70273,-0.00156788,-0.000596862
2.75023,-0.00159623,-0.000912151
2.77559,-0.00161937,-0.00111826
2.80296,-0.00164997,-0.00136335
2.83249,-0.00169023,-0.00159013
2.86703,-0.00174516,-0.00179269
2.90054,-0.00180523,-0.00197206
2.93771,-0.00187854,-0.00198998
2.96791,-0.00193863,-0.00196559
3.00263,-0.00200687,-0.00184522
3.03701,-0.0020703,-0.00166999
3.07279,-0.00213005,-0.00145584
3.10545,-0.0021776,-0.00126853
3.14061,-0.00222221,-0.00113395
3.1773,-0.00226381,-0.00107963
3.21332,-0.0023027,-0.00109826
3.24515,-0.00233766,-0.00116081
3.282,-0.00238044,-0.00129797
3.31641,-0.0024251,-0.00145837
3.3523,-0.00247745,-0.00165056
3.39724,-0.00255162,-0.00185865
3.44785,-0.00264568,-0.00203742
3.45512,-0.00266049,-0.00205095
3.49008,-0.00273219,-0.00206839
3.52445,-0.00280327,-0.00205723
3.56112,-0.00287871,-0.00202038
3.59703,-0.00295128,-0.00196142
3.64115,-0.0030378,-0.00188145
3.66409,-0.00308097,-0.00185976
3.70001,-0.00314778,-0.00185067
3.73381,-0.00321032,-0.00187925
3.79411,-0.00332365,-0.0020302
3.80482,-0.00334539,-0.00207141
3.83971,-0.00341767,-0.00226543
3.87517,-0.003498,-0.00251049
3.91271,-0.00359224,-0.00281683
3.94523,-0.00368385,-0.0031065
3.98291,-0.00380089,-0.00348201
4.01749,-0.0039213,-0.00386683
4.05306,-0.00405884,-0.00431929
4.08898,-0.00421398,-0.00483733
4.13906,-0.00445624,-0.0056457
4.16209,-0.00458629,-0.00606697
4.19865,-0.00480808,-0.00681592
4.24687,-0.00513676,-0.00788913
4.27332,-0.00534543,-0.00853393
4.31403,-0.00569288,-0.00961297
4.35714,-0.00610726,-0.0108286
4.38683,-0.00642883,-0.0117146
4.42498,-0.00687576,-0.0129109
4.46522,-0.00739527,-0.014216
4.50229,-0.00792229,-0.0154384
4.54031,-0.00850926,-0.0167097
4.58231,-0.00921126,-0.0181666
4.61847,-0.00986823,-0.0194814
4.65685,-0.010616,-0.0209505
4.69765,-0.0114707,-0.0225446
4.73791,-0.0123787,-0.0240833
4.7718,-0.013195,-0.0253309
4.81035,-0.0141717,-0.0266884
4.84701,-0.0151504,-0.0278774
4.89035,-0.0163588,-0.0291659
4.92573,-0.017391,-0.0301243
4.96561,-0.0185929,-0.03113
5.00482,-0.0198137,-0.0320717
5.04903,-0.0212321,-0.0331153
5.08837,-0.0225353,-0.034101
5.13305,-0.0240596,-0.0353083
5.18906,-0.026038,-0.0369446
5.21895,-0.0271429,-0.0378815
5.26331,-0.0288242,-0.039354
5.30861,-0.0306076,-0.0409095
5.35667,-0.0325747,-0.0425326
5.40201,-0.0345043,-0.0439729
5.44269,-0.0362946,-0.0451727
5.49505,-0.0386612,-0.0465943
5.55323,-0.0413742,-0.0480805
5.60203,-0.043722,-0.0492173
5.6213,-0.0446713,-0.0496495
5.66564,-0.0468749,-0.0506345
5.71238,-0.0492432,-0.0516923
