X,Y,PHI
5.84101,-0.0539375,-0.0530696
5.88761,-0.0564126,-0.0539055
5.9296,-0.0586786,-0.054624
5.98884,-0.0619175,-0.0555771
6.03394,-0.0644266,-0.0562598
6.06168,-0.065989,-0.0566584
6.10334,-0.0683519,-0.0572154
6.14739,-0.0708748,-0.0577691
6.20194,-0.0740299,-0.0583993
6.23743,-0.0761046,-0.058774
6.2795,-0.0785804,-0.0591767
6.32454,-0.0812486,-0.0595697
6.37005,-0.0839626,-0.0599237
6.421,-0.0870195,-0.0602584
6.47245,-0.0901236,-0.0605337
6.51357,-0.0926161,-0.0606746
6.55025,-0.0948445,-0.0607551
6.59535,-0.0975878,-0.0608184
6.67674,-0.102544,-0.0608915
6.68593,-0.103104,-0.0608867
6.7319,-0.105906,-0.060811
6.77794,-0.10871,-0.0606718
6.82345,-0.111474,-0.0604833
6.86871,-0.114215,-0.0602334
6.93742,-0.118359,-0.0597627
6.96008,-0.119715,-0.0595834
7.00588,-0.122447,-0.0591707
7.05232,-0.125198,-0.0586938
7.11044,-0.128613,-0.0580335
7.15338,-0.131108,-0.0575007
7.19031,-0.133234,-0.0570026
7.23609,-0.135846,-0.0563373
7.28254,-0.138466,-0.0556218
7.33575,-0.141428,-0.0547413
7.3881,-0.144297,-0.0538101
7.42669,-0.146376,-0.0530827
7.47268,-0.148819,-0.0521458
7.51687,-0.151125,-0.0511892
7.57001,-0.153848,-0.0499485
7.61251,-0.155972,-0.0488851
7.66067,-0.158329,-0.0475979
7.7104,-0.160698,-0.0462011
7.75956,-0.16297,-0.0447521
7.82363,-0.16584,-0.0427553
7.8818,-0.168328,-0.040845
7.9088,-0.169432,-0.0399135
7.95083,-0.17111,-0.0384088
8.00044,-0.173016,-0.036561
8.05143,-0.174882,-0.0345719
8.1027,-0.176655,-0.0324838
8.15893,-0.178482,-0.0300957
8.20295,-0.179807,-0.0281578
8.25773,-0.18135,-0.0256851
8.30072,-0.182454,-0.0236739
8.35723,-0.183793,-0.0209414
8.40379,-0.184768,-0.0186145
8.45293,-0.185683,-0.0161029
8.50792,-0.186568,-0.013217
8.56069,-0.187266,-0.0103517
8.60694,-0.187744,-0.00776453
8.66205,-0.188172,-0.00456904
8.71085,-0.188395,-0.00166687
8.77021,-0.188494,0.00196964
8.8201,-0.188396,0.00514872
8.87351,-0.188121,0.00867832
8.92372,-0.187685,0.0121121
8.97315,-0.187087,0.0156107
9.02596,-0.186262,0.0194476
9.08706,-0.185074,0.0240411
9.13302,-0.183968,0.0276011
9.18399,-0.182561,0.031645
9.2367,-0.180893,0.0359238
9.29416,-0.178828,0.0406971
9.3456,-0.176733,0.0450921
9.40434,-0.174083,0.0502353
9.45142,-0.171715,0.0544574
9.50251,-0.168931,0.0591335
9.55511,-0.165816,0.0640315
9.63668,-0.160586,0.0717755
9.66155,-0.158798,0.0741792
9.71511,-0.154818,0.0794296
9.769,-0.150529,0.0847943
9.82153,-0.146064,0.0900919
9.88865,-0.14,0.0969367
9.9289,-0.136086,0.101089
9.98134,-0.130767,0.106568
10.0332,-0.125215,0.11206
10.0897,-0.118858,0.118103
10.1554,-0.111064,0.125196
10.1963,-0.105912,0.129663
10.247,-0.0993059,0.13526
10.2963,-0.0925986,0.140756
10.3515,-0.0847763,0.146969
10.4049,-0.0768769,0.153029
10.4645,-0.0676736,0.159853
10.5064,-0.0609185,0.16467
10.5613,-0.0518028,0.170999
10.6109,-0.0432332,0.176749
10.6933,-0.0285235,0.18632
10.7198,-0.0235166,0.189412
10.7688,-0.0141385,0.195119
10.8216,-0.00370097,0.201297
10.8833,0.0089008,0.208531
10.9417,0.0212562,0.215386
