steering_wheel_angle,,等效转角,,
-404.71 ,-0.37909934,-21.72079219,,14.02227217
-404.13 ,-0.378612705,-21.69291007,,14.02514045
-403.55 ,-0.378126501,-21.66505262,,14.02799909
-402.97 ,-0.377640225,-21.63719106,,14.03084797
-402.39 ,-0.377154385,-21.60935448,,14.03368989
-401.81 ,-0.376668481,-21.58151423,,14.03652119
-401.23 ,-0.376183018,-21.55369926,,14.03934327
-400.65 ,-0.375697499,-21.52588106,,14.0421567
-400.07 ,-0.375212177,-21.49807418,,14.04495865
-399.49 ,-0.374727305,-21.47029302,,14.04775675
-398.91 ,-0.374242387,-21.44250929,,14.05054038
-398.33 ,-0.373757676,-21.41473741,,14.05331791
-397.75 ,-0.373273176,-21.38697758,,14.05608292
-397.16 ,-0.372788888,-21.35922996,,14.0588417
-396.58 ,-0.372304572,-21.33148069,,14.06158781
-396.00 ,-0.371820721,-21.30375807,,14.06433042
-395.42 ,-0.371336849,-21.27603422,,14.06705733
-394.84 ,-0.370853203,-21.24832335,,14.06978061
-394.26 ,-0.370370029,-21.22063954,,14.07248438
-393.68 ,-0.369887087,-21.192969,,14.07518149
-393.10 ,-0.369404138,-21.16529805,,14.07786977
-392.52 ,-0.368921187,-21.13762697,,14.08054909
-391.94 ,-0.368438718,-21.10998356,,14.08322304
-391.36 ,-0.367956254,-21.08234043,,14.08588069
-390.78 ,-0.3674738,-21.05469784,,14.08853644
-390.20 ,-0.366991599,-21.02706972,,14.09118084
-389.62 ,-0.366509415,-20.99944262,,14.09381812
-389.04 ,-0.36602749,-20.97183038,,14.09644612
-388.46 ,-0.365545592,-20.94421961,,14.09906756
-387.87 ,-0.365063959,-20.91662411,,14.10167666
-387.29 ,-0.36458236,-20.88903053,,14.10428355
-386.71 ,-0.3641008,-20.86143914,,14.10687864
-386.13 ,-0.363619516,-20.83386362,,14.10946624
-385.55 ,-0.363138045,-20.80627735,,14.11203896
-384.97 ,-0.362657091,-20.77872074,,14.11461443
-384.39 ,-0.362175959,-20.75115391,,14.11717262
-383.81 ,-0.361695118,-20.72360376,,14.11972756
-383.23 ,-0.36121434,-20.6960572,,14.12226802
-382.65 ,-0.360733629,-20.66851448,,14.12480807
-382.07 ,-0.36025299,-20.64097586,,14.12733577
-381.49 ,-0.359772426,-20.61344157,,14.12985772
-380.91 ,-0.359292171,-20.58592499,,14.13236647
-380.33 ,-0.358811771,-20.5584001,,14.13487303
-379.75 ,-0.358331687,-20.53089333,,14.13736854
-379.16 ,-0.357851468,-20.50337881,,14.13985577
-378.58 ,-0.357371573,-20.47588284,,14.14233549
-378.00 ,-0.356891552,-20.44837966,,14.14480913
-377.42 ,-0.356411636,-20.42088252,,14.14726913
-376.84 ,-0.35593183,-20.39339167,,14.14972592
-376.26 ,-0.355452363,-20.3659202,,14.15217427
-375.68 ,-0.354972564,-20.33842979,,14.15461698
-375.10 ,-0.354493113,-20.31095922,,14.15704811
-374.52 ,-0.354013564,-20.28348313,,14.1594728
-373.94 ,-0.353534148,-20.25601457,,14.16188949
-373.36 ,-0.353054866,-20.22855377,,14.16429962
-372.78 ,-0.352575503,-20.2010883,,14.16669789
-372.20 ,-0.352096285,-20.17363111,,14.16909795
-371.62 ,-0.351617215,-20.14618243,,14.17148368
-371.04 ,-0.35113786,-20.11871738,,14.17386499
-370.45 ,-0.350658881,-20.09127394,,14.17623795
-369.87 ,-0.350179628,-20.06381477,,14.17860878
-369.29 ,-0.349700543,-20.0363652,,14.180965
-368.71 ,-0.349221412,-20.00891303,,14.18331968
-368.13 ,-0.348742458,-19.98147096,,14.18566509
