yaw_rate_const,yaw_rate_const_kf,yaw_rate,yaw_rate_kf,yaw_rate_MOKF
0,0,-0.0042586,-0.00239736,-0.00816058
0,0,-0.0042586,-0.00264262,-0.00899545
0,0,0,-0.00229439,-0.00781008
0,0,0,-0.00199205,-0.00678091
0,0,-0.0042586,-0.00229072,-0.00779759
0,0,-0.0042586,-0.00255004,-0.0086803
0,0,0,-0.00221401,-0.00753646
0,0,0,-0.00192226,-0.00654335
0,0,0,-0.00166896,-0.0056811
0,0,0,-0.00144903,-0.00493248
0,0,0,-0.00125808,-0.0042825
0,0,0,-0.0010923,-0.00371818
0,0,-0.0042586,-0.00150954,-0.00513845
0,0,-0.0042586,-0.0018718,-0.00637157
0,0,0,-0.00162514,-0.00553196
0,0,0,-0.00141099,-0.00480299
0,0,-0.0042586,-0.00178623,-0.00608031
0,0,-0.0042586,-0.00211203,-0.00718931
0,0,-0.0042586,-0.00239489,-0.00815218
0,0,-0.0042586,-0.00264048,-0.00898816
0,0,-0.0042586,-0.00285371,-0.00971398
0,0,-0.0042586,-0.00303884,-0.0103442
0,0,0,-0.0026384,-0.00898106
0,0,0,-0.00229072,-0.00779759
0,0,-0.0042586,-0.00255004,-0.0086803
0,0,-0.0042586,-0.00277518,-0.00944669
0,0,-0.0042586,-0.00297066,-0.0101121
0,0,-0.0042586,-0.00314038,-0.0106898
0,0,-0.0042586,-0.00328773,-0.0111914
0,0,0,-0.00285449,-0.00971665
0,0,-0.00851721,-0.00360069,-0.0122567
0,0,-0.00851721,-0.00424857,-0.0144621
0,0,-0.0042586,-0.00424989,-0.0144666
0,0,-0.0042586,-0.00425104,-0.0144705
0,0,0,-0.00369086,-0.0125636
0,0,0,-0.0032045,-0.0109081
0,0,0,-0.00278223,-0.00947066
0,0,-0.0042586,-0.00297678,-0.0101329
0,0,0,-0.00258451,-0.00879764
0,0,0,-0.00224394,-0.00763834
0,0,0,-0.00194825,-0.0066318
0,0,0,-0.00169152,-0.0057579
0,0,0,-0.00146862,-0.00499915
0,0,0,-0.00127509,-0.00434039
0,0,0,-0.00110707,-0.00376844
0,0,-0.0042586,-0.00152236,-0.00518209
0,0,0,-0.00132175,-0.00449922
0,0,0,-0.00114758,-0.00390634
0,0,-0.0042586,-0.00155753,-0.00530182
0,0,-0.0042586,-0.00191346,-0.0065134
0,0,-0.0042586,-0.00222249,-0.00756534
0,0,-0.0042586,-0.0024908,-0.00847865
0,0,-0.0042586,-0.00272375,-0.00927161
0,0,-0.0042586,-0.00292601,-0.00996008
0,0,-0.0042586,-0.00310161,-0.0105578
0,0,-0.0042586,-0.00325407,-0.0110768
0,0,-0.0042586,-0.00338644,-0.0115274
0,0,-0.0042586,-0.00350137,-0.0119186
0,0,-0.0042586,-0.00360116,-0.0122583
