time_stamp,steering_wheel_angle,speed,yaw_rate,lateral_acc
3155392225,-1.5,0.611978,0,-0.1875
3155412549,-1.5,0.625,0,-0.09375
3155433501,-1.5,0.642361,0,-0.09375
3155452016,-1.5,0.655383,0,-0.09375
3155472166,-1.5,0.668403,0,-0.09375
3155492919,-1.5,0.685764,-0.00109083,-0.09375
3155511998,-1.5,0.698783,-0.00109083,-0.09375
3155532102,-1.5,0.711806,-0.00109083,-0.09375
3155557111,-1.5,0.724828,0,-0.09375
3155582656,-1.5,0.737847,0,-0.09375
3155591989,-1.5,0.755208,0,-0.09375
3155613159,-1.5,0.768228,0,-0.09375
3155631908,-1.5,0.78125,0.00109083,-0.09375
3155654585,-1.5,0.794272,0,-0.09375
3155672224,-1.5,0.807292,0,-0.09375
3155692678,-1.5,0.824653,-0.00109083,-0.09375
3155712063,-1.5,0.837672,-0.00109083,-0.1875
3155732476,-1.5,0.846356,-0.00109083,-0.1875
3155755654,-1.5,0.863717,-0.00109083,-0.1875
3155781529,-1.5,0.876736,-0.00109083,-0.1875
3155793292,-1.5,0.885417,-0.00109083,-0.1875
3155812033,-1.5,0.898439,-0.00109083,-0.1875
3155832431,-1.5,0.911458,-0.00109083,-0.09375
3155853389,-1.5,0.924478,-0.00109083,-0.09375
3155872010,-1.5,0.933161,0,-0.09375
3155894884,-1.5,0.946181,0,-0.09375
3155913431,-1.5,0.9592,0,-0.09375
3155932173,-1.5,0.972222,0,-0.09375
3155959945,-1.5,0.985244,-0.00109083,-0.09375
3155986119,-1.5,0.993922,-0.00109083,-0.09375
3155991983,-1.5,1.00694,-0.00109083,-0.09375
3156012757,-1.5,1.01562,-0.00218166,-0.09375
3156033190,-1.5,1.02864,-0.00109083,-0.09375
3156053590,-1.5,1.04167,-0.00109083,-0.09375
3156071924,-1.5,1.05035,-0.00109083,-0.09375
3156092240,-1.5,1.05469,-0.00109083,-0.09375
3156111812,-1.5,1.06337,-0.00109083,-0.09375
3156133355,-1.5,1.07205,0,-0.09375
3156154117,-1.5,1.07639,0,-0.09375
3156183706,-1.5,1.08507,0,-0.1875
3156194174,-1.5,1.08941,0,-0.1875
3156212002,-1.5,1.09375,0.00109083,-0.1875
3156231815,-1.5,1.10243,0.00109083,-0.1875
3156251956,-1.5,1.11111,0,-0.1875
3156282178,-1.5,1.11545,0,-0.1875
3156293068,-1.5,1.11979,-0.00218166,-0.1875
3156311778,-1.5,1.12413,-0.00327249,-0.1875
3156333004,-1.5,1.13281,-0.00327249,-0.1875
3156351840,-1.5,1.13715,-0.00436332,-0.09375
3156379187,-1.5,1.14149,-0.00218166,-0.09375
3156393229,-1.5,1.14583,-0.00109083,-0.09375
3156414389,-1.5,1.15017,-0.00109083,-0.09375
3156431723,-1.5,1.15451,0,0
3156452046,-1.5,1.15451,0,-0.09375
3156476311,-1.5,1.16319,0,-0.09375
3156501540,-1.5,1.16753,0,-0.09375
3156514296,-1.5,1.17188,0,-0.09375
3156531878,-1.5,1.18056,0,-0.1875
3156551871,-1.5,1.18489,-0.00109083,-0.1875
3156574064,-1.5,1.19358,-0.00109083,-0.1875
3156591664,-1.5,1.19792,-0.00109083,-0.1875
3156611573,-1.5,1.20226,-0.00218166,-0.1875
3156632866,-1.5,1.21094,-0.00218166,-0.09375
3156652555,-1.5,1.21528,-0.00109083,-0.09375
3156672854,-1.5,1.21962,-0.00218166,-0.09375
3156697203,-1.5,1.2283,-0.00109083,-0.09375
3156712068,-1.5,1.23698,-0.00109083,-0.09375
3156734356,-1.5,1.24566,0,-0.09375
3156759577,-1.5,1.25434,0,-0.09375
3156783213,-1.5,1.26302,0,-0.09375
3156791707,-1.5,1.2717,0,-0.09375
3156811913,-1.5,1.28038,0,-0.09375
3156831973,-1.5,1.28906,0,-0.1875
3156851697,-1.5,1.30208,0,-0.09375
3156871836,-1.5,1.31076,0,-0.09375
3156894027,-1.5,1.32378,0,-0.1875
3156911727,-1.5,1.33247,0,-0.1875
3156931933,-1.375,1.34549,-0.00109083,-0.1875
3156952611,-1.6875,1.34114,-0.00109083,-0.09375
3156980121,-2,1.33681,-0.00109083,-0.09375
3156992783,-2,1.32812,-0.00327249,0
3157013398,-2,1.32378,-0.00327249,0
3157031342,-1.6875,1.34114,-0.00327249,0
3157053074,-1.375,1.36285,0,0.09375
3157081956,-1,1.39757,0.00436332,0.1875
3157100713,-0.875,1.42361,0.00981748,0.28125
3157112480,-0.875,1.44531,0.0119991,0.09375
3157131281,-0.875,1.46267,0.0119991,0
3157151381,-0.5,1.45833,0.00763582,-0.1875
3157175279,-0.25,1.44965,0.00436332,-0.390625
3157193237,0.25,1.45399,0,-0.578125
3157211885,0.875,1.46267,-0.00327249,-0.78125
3157232791,1.5625,1.47136,-0.00763582,-0.96875
3157251649,2.1875,1.48872,-0.00981748,-1.07812
3157283272,2.875,1.49306,-0.0109083,-0.96875
3157305734,2.375,1.48872,-0.0119991,-0.78125
3157311377,1.5,1.48003,-0.0119991,-0.578125
3157331370,0.6875,1.47569,-0.0109083,-0.28125
3157352642,0.1875,1.48003,-0.00654498,0
3157375010,-0.6875,1.48872,-0.00218166,0.390625
3157391914,-1.375,1.50174,0.00436332,0.671875
3157413422,-1.75,1.5191,0.00872665,0.78125
3157431658,-2,1.52778,0.0119991,0.671875
3157451238,-2.1875,1.53646,0.0109083,0.578125
3157471569,-2.1875,1.54948,0.0109083,0.390625
3157495186,-1.875,1.5625,0.00763582,0.28125
3157511237,-1.75,1.57118,0.00436332,0.09375
3157532792,-1.6875,1.58854,0.00436332,0.09375
3157551904,-1.375,1.60156,-0.00763582,-0.09375
3157581245,-1.375,1.61892,-0.01309,-0.1875
3157596788,-1.25,1.63194,-0.0141808,-0.1875
3157613424,-1.1875,1.64497,-0.0152716,-0.09375
3157631236,-1.1875,1.65799,-0.0119991,-0.09375
3157651906,-1,1.67101,-0.00872665,-0.09375
3157671805,-1,1.68403,-0.00872665,-0.09375
3157693709,-0.875,1.69705,0.00218166,-0.1875
3157711413,-0.875,1.70573,0.00218166,-0.1875
3157731613,-0.875,1.71875,0.00763582,-0.28125
3157751563,-0.875,1.72309,0.00981748,-0.28125
3157772275,-0.6875,1.72743,0.0109083,-0.390625
3157791087,-0.5625,1.73611,0.00981748,-0.484375
3157811292,-0.5,1.74045,0.00545415,-0.484375
3157832319,-0.375,1.74479,0.00109083,-0.578125
3157852912,-0.375,1.74913,-0.00218166,-0.578125
3157871111,-0.375,1.74913,-0.00436332,-0.484375
3157892179,-0.375,1.74913,-0.00763582,-0.484375
3157911901,-0.5,1.74479,-0.00872665,-0.390625
3157932421,-0.5,1.74913,-0.00981748,-0.1875
3157958113,-0.6875,1.74913,-0.00763582,-0.09375
3157987119,-0.75,1.74479,-0.00545415,0
3157991285,-1.5625,1.74479,-0.00218166,0.09375
3158011320,-2.875,1.74479,0,0.1875
3158031066,-4.25,1.74045,0.00109083,0.1875
3158052136,-5.0625,1.74045,0.00218166,0.1875
3158072721,-8.5,1.74479,0.00327249,0.09375
3158098004,-11.25,1.74479,0.00327249,0.09375
3158111185,-12.875,1.74045,0.00109083,0
3158131774,-18,1.74479,0,0
3158151095,-19.75,1.74913,-0.00218166,-0.09375
3158185489,-25.5625,1.75347,-0.00545415,-0.09375
3158191580,-29.75,1.75781,-0.00763582,-0.1875
3158211381,-34.0625,1.76215,-0.0109083,-0.28125
3158231455,-36.25,1.76649,-0.01309,-0.28125
3158252654,-42.75,1.77083,-0.0152716,-0.390625
3158270929,-47.0625,1.77951,-0.0163625,-0.484375
3158291999,-51.25,1.78819,-0.0185441,-0.484375
3158311290,-55.375,1.79253,-0.0207258,-0.578125
3158331037,-57.25,1.80122,-0.0239983,-0.578125
3158350883,-61,1.80989,-0.0272708,-0.671875
3158378422,-66.0625,1.81858,-0.0305433,-0.78125
3158391028,-69,1.82726,-0.0349066,-0.78125
3158410893,-70.25,1.84028,-0.0392699,-0.875
3158436913,-73.375,1.8533,-0.0425424,-0.875
3158451119,-74.1875,1.86198,-0.0469057,-0.875
3158472833,-76.1875,1.875,-0.051269,-0.875
3158495665,-77.0625,1.88802,-0.0545415,-0.78125
3158511322,-77.375,1.8967,-0.057814,-0.78125
3158531300,-77.75,1.90972,-0.0610865,-0.78125
3158552228,-77.875,1.92274,-0.0632682,-0.671875
3158571380,-77.6875,1.93576,-0.064359,-0.578125
3158590934,-77.5625,1.94444,-0.0654498,-0.484375
3158612445,-77.5,1.95312,-0.0687223,-0.390625
3158631003,-77.375,1.94878,-0.0719948,-0.390625
