X,Y,PHI
1.71476,-0.000858642,-0.00127692
1.74414,-0.000896153,-0.00127692
1.76773,-0.000926268,-0.00127692
1.79491,-0.000960984,-0.00129886
1.82264,-0.000997004,-0.00132733
1.85942,-0.00104582,-0.00136735
1.87624,-0.00106881,-0.00141353
1.90353,-0.00110739,-0.00150083
1.92759,-0.0011435,-0.00157964
1.95721,-0.00119029,-0.00160522
1.99757,-0.00125508,-0.00148888
2.02428,-0.00129484,-0.00128534
2.04128,-0.0013167,-0.00111058
2.06878,-0.00134724,-0.000811197
2.0981,-0.00137102,-0.000572661
2.13274,-0.00139086,-0.000392871
2.15885,-0.00140112,-0.000356671
2.18613,-0.00141085,-0.000407344
2.21689,-0.00142338,-0.000581468
2.24496,-0.0014397,-0.000807842
2.29218,-0.00147784,-0.00125293
2.32561,-0.00151974,-0.00160593
2.33397,-0.00153315,-0.00169709
2.36347,-0.00158322,-0.00200072
2.39495,-0.00164621,-0.00222587
2.42825,-0.00172033,-0.00233789
2.45364,-0.00177968,-0.00228715
2.48631,-0.00185441,-0.00208302
2.51417,-0.00191244,-0.00181883
2.54426,-0.00196716,-0.00153022
2.57576,-0.00201536,-0.00122916
2.61266,-0.00206072,-0.000955948
2.63788,-0.00208483,-0.000836479
2.67212,-0.00211347,-0.00069987
2.70273,-0.00213489,-0.000812681
2.75023,-0.0021735,-0.0012414
2.77559,-0.00220499,-0.00152165
2.80296,-0.00224663,-0.00185492
2.83249,-0.00230141,-0.00216328
2.86703,-0.00237613,-0.00243871
2.90054,-0.00245785,-0.00268262
2.93771,-0.00255757,-0.00270699
2.96791,-0.00263931,-0.00267382
3.00263,-0.00273214,-0.00251014
3.03701,-0.00281843,-0.00227187
3.07278,-0.00289972,-0.00198069
3.10544,-0.0029644,-0.00172599
3.14061,-0.0030251,-0.00154299
3.1773,-0.00308171,-0.00146913
3.21332,-0.00313463,-0.00149447
3.24515,-0.0031822,-0.00157951
3.282,-0.0032404,-0.00176602
3.31641,-0.00330118,-0.00198412
3.3523,-0.00337239,-0.00224546
3.39724,-0.0034733,-0.00252841
3.44785,-0.00360126,-0.00277149
3.45512,-0.0036214,-0.00278989
3.49008,-0.00371893,-0.0028136
3.52444,-0.00381562,-0.00279842
3.56111,-0.00391825,-0.00273866
3.59703,-0.00401661,-0.00263653
3.64114,-0.00413292,-0.00248464
3.66409,-0.00418992,-0.00242532
3.70001,-0.00427704,-0.0023494
3.7338,-0.00435644,-0.00231522
3.79411,-0.00449607,-0.00235674
3.80482,-0.0045213,-0.00237758
3.83971,-0.00460426,-0.00250604
3.87517,-0.00469313,-0.00268424
3.91271,-0.00479389,-0.0029121
3.94523,-0.00488859,-0.00312181
3.98291,-0.00500622,-0.00339552
4.01749,-0.00512363,-0.00367974
4.05306,-0.00525451,-0.00403179
4.08898,-0.00539933,-0.00445219
4.13906,-0.00562231,-0.00512589
4.16209,-0.00574038,-0.00549081
4.19865,-0.0059411,-0.00616496
4.24687,-0.00623839,-0.00715026
4.27332,-0.00642753,-0.00775854
4.31403,-0.0067434,-0.00880053
4.35714,-0.00712276,-0.00999316
4.38683,-0.00741952,-0.0108754
4.42498,-0.00783444,-0.0120832
4.46522,-0.00832064,-0.0134126
4.50229,-0.00881788,-0.0146629
4.54031,-0.00937537,-0.0159678
4.58232,-0.0100462,-0.0174797
4.61848,-0.0106783,-0.0188619
4.65686,-0.0114023,-0.0204262
4.69765,-0.0122357,-0.0221322
4.73792,-0.0131271,-0.0237702
4.7718,-0.0139327,-0.0250862
4.81035,-0.0149,-0.0265045
4.84702,-0.015872,-0.0277211
4.89035,-0.0170735,-0.0290092
4.92574,-0.0181003,-0.0299401
4.96562,-0.0192948,-0.0308948
5.00482,-0.0205064,-0.0317752
5.04903,-0.0219116,-0.0327512
5.08837,-0.0232005,-0.0337037
5.13306,-0.0247071,-0.0349105
5.18907,-0.0266632,-0.036596
5.21896,-0.0277577,-0.0375851
5.26332,-0.0294258,-0.0391692
5.30862,-0.0312008,-0.0408636
5.35668,-0.0331658,-0.0426323
5.40202,-0.0350999,-0.0441832
5.4427,-0.0368987,-0.0454554
5.49506,-0.0392802,-0.0469332
5.55324,-0.0420128,-0.0484584
5.60203,-0.0443791,-0.0495989
5.6213,-0.0453358,-0.0500297
5.66565,-0.0475562,-0.0510198
5.71238,-0.0499425,-0.0521021
5.75305,-0.0520632,-0.0530871
5.79713,-0.0544056,-0.0542028
5.84102,-0.056787,-0.0553602
5.88761,-0.0593688,-0.056633
5.9296,-0.0617493,-0.0577767
5.98882,-0.065175,-0.059344
6.03391,-0.0678539,-0.0604727
6.06165,-0.0695332,-0.0611202
6.1033,-0.0720819,-0.0620007
6.14733,-0.0748155,-0.0628236
6.20187,-0.0782463,-0.0637389
6.23734,-0.0805105,-0.064254
6.2794,-0.0832169,-0.0648085
6.32442,-0.0861386,-0.0653258
6.36991,-0.0891146,-0.0658373
6.42085,-0.0924727,-0.066376
6.47228,-0.0958915,-0.0669013
6.51339,-0.0986458,-0.0673204
6.55005,-0.101118,-0.0677029
6.59513,-0.104174,-0.0681604
6.67648,-0.109728,-0.0689098
6.68567,-0.110362,-0.0689831
6.73161,-0.113536,-0.0693029
6.77762,-0.11673,-0.0695406
6.82311,-0.119899,-0.0696797
6.86834,-0.123055,-0.0697456
6.93701,-0.127853,-0.0697091
6.95966,-0.129434,-0.0696477
7.00542,-0.132627,-0.0694672
7.05183,-0.135856,-0.0692196
7.10992,-0.139883,-0.0688233
7.15283,-0.14284,-0.0684853
7.18973,-0.145372,-0.0681606
7.23547,-0.148494,-0.0677187
7.2819,-0.151643,-0.0672251
7.33507,-0.155223,-0.066642
7.38738,-0.158714,-0.066035
7.42594,-0.161264,-0.0655572
7.47189,-0.164281,-0.064959
7.51605,-0.167154,-0.0643319
7.56915,-0.170574,-0.0635174
7.61162,-0.173275,-0.0628183
7.65975,-0.176303,-0.0619706
7.70943,-0.179386,-0.0610103
7.75855,-0.182386,-0.0599748
7.82257,-0.186231,-0.0585192
7.88069,-0.189636,-0.0570727
7.90767,-0.191177,-0.0563523
7.94967,-0.193546,-0.0551378
7.99924,-0.196282,-0.0535687
8.0502,-0.199014,-0.0518644
8.10142,-0.201674,-0.0500434
8.15762,-0.204488,-0.0479394
8.20161,-0.206599,-0.0462193
8.25635,-0.20913,-0.0439976
8.29931,-0.211022,-0.042187
8.35579,-0.213406,-0.0397179
8.40232,-0.215255,-0.0376022
8.45143,-0.217103,-0.0352912
8.50639,-0.219043,-0.0326406
8.55914,-0.220766,-0.0300274
8.60537,-0.222154,-0.0276869
8.66047,-0.22368,-0.0248127
8.70925,-0.22489,-0.0221807
8.7686,-0.226207,-0.0188651
8.81847,-0.227148,-0.0160035
8.87188,-0.228003,-0.0128462
8.92209,-0.228648,-0.00977258
8.97152,-0.229131,-0.0066515
9.02433,-0.229482,-0.00317495
9.08544,-0.229676,0.00100343
9.13142,-0.22963,0.00427747
9.18241,-0.229412,0.00805091
9.23514,-0.228988,0.0120887
9.29264,-0.228292,0.01666
9.34412,-0.227435,0.020909
9.4029,-0.226206,0.0258868
9.45002,-0.224985,0.0299783
9.50116,-0.223452,0.0345185
9.55383,-0.221633,0.0392695
9.6355,-0.218424,0.0467623
9.66041,-0.217259,0.0490787
9.71405,-0.214624,0.0541432
9.76803,-0.211698,0.0593266
9.82066,-0.208573,0.0644632
9.88791,-0.204231,0.0711431
9.92825,-0.201356,0.0752118
9.98081,-0.197396,0.0806071
10.0328,-0.193193,0.0860673
10.0895,-0.188306,0.0921321
10.1553,-0.182221,0.0992554
10.1964,-0.178133,0.103744
10.2472,-0.172841,0.109356
10.2967,-0.167413,0.114873
10.352,-0.161022,0.121114
10.4056,-0.154505,0.127209
10.4655,-0.146845,0.134084
10.5075,-0.141172,0.138956
10.5626,-0.133469,0.145405
10.6124,-0.126173,0.1513
10.6951,-0.113563,0.161216
10.7218,-0.109225,0.164435
10.771,-0.101071,0.170416
10.824,-0.0919414,0.176928
10.8861,-0.0808482,0.184563
10.9447,-0.0698957,0.191785
11.0098,-0.057257,0.199792
11.031,-0.0529596,0.202392
11.0859,-0.0416955,0.209075
11.1439,-0.0293878,0.216085
11.1888,-0.0195369,0.221525
11.2363,-0.00883685,0.22728
11.2895,0.00346696,0.233696
11.3458,0.0168711,0.240486
11.3884,0.0273073,0.245648
11.4401,0.0402804,0.25195
11.5136,0.0591825,0.260909
11.5616,0.0720154,0.266797
11.5901,0.0798053,0.270279
11.645,0.0950142,0.276999
11.7091,0.113225,0.284816
11.7711,0.131373,0.292388
11.7956,0.138752,0.295397
11.8392,0.152038,0.300754
11.8891,0.167496,0.306897
11.9425,0.184443,0.313506
11.9896,0.199709,0.319416
12.0368,0.215322,0.325415
12.0862,0.231985,0.331767
12.1359,0.2491,0.33824
12.1882,0.267495,0.345144
