time_stamp,steering_wheel_angle,speed,yaw_rate,lateral_acc,longitude_acc,duration,gps_time_stamp,gps_precision,gps_longitude,gps_lattitude,gps_orientation
4638865396,-13.68750000000000,8.16838888888889,-0.04036073895237,-0.43247767857143,0.78000000000000,0.00058300000000,4640920195,0.71420000000000,121.39922238406568,31.17453201675952,0.14995682038085,
4638865645,-13.68750000000000,8.17708333333333,-0.04036073895237,-0.34877232142857,0.78000000000000,0.00024900000000,4641025185,0.71420000000000,121.39922070926691,31.17454065423419,0.13339020448011,
4638866010,-13.68750000000000,8.18577777777778,-0.03817907738738,-0.34877232142857,0.78000000000000,0.00036500000000,4641116748,0.71420000000000,121.39921895955662,31.17454923070378,0.14687045839226,
4638866217,-13.68750000000000,8.22050000000000,-0.03817907738738,-0.34877232142857,0.78000000000000,0.00020700000000,4641223906,0.71420000000000,121.39921669558461,31.17455808493205,0.11582285776640,
4638882907,-13.68750000000000,8.24652777777778,-0.03817907738738,-0.34877232142857,0.78000000000000,0.01669000000000,4641317003,0.71420000000000,121.39921521140035,31.17456681408805,0.12362950000758,
4638905579,-13.68750000000000,8.27255555555555,-0.03926990816987,-0.34877232142857,0.87000000000000,0.02267200000000,4641425508,0.71420000000000,121.39921296332700,31.17457553198254,0.16364548598409,
4638922846,-13.68750000000000,8.30727777777778,-0.03926990816987,-0.43247767857143,0.78000000000000,0.01726700000000,4641517861,0.71420000000000,121.39921137096795,31.17458424293464,0.14801318213595,
4638942868,-13.68750000000000,8.30727777777778,-0.04036073895237,-0.43247767857143,0.87000000000000,0.02002200000000,4641631048,0.71420000000000,121.39920915289919,31.17459309941760,0.15819832033312,
4638963153,-13.68750000000000,8.31597222222222,-0.03926990816987,-0.43247767857143,0.87000000000000,0.02028500000000,4641717737,0.71420000000000,121.39920761987015,31.17460195809503,0.15142114282211,
4638982978,-13.56250000000000,8.33333333333333,-0.03926990816987,-0.51618303571429,0.87000000000000,0.01982500000000,4641833170,0.53160000000000,121.39920558544840,31.17461081484273,0.23619350601457,
4639003091,-13.56250000000000,8.35069444444444,-0.04036073895237,-0.51618303571429,0.87000000000000,0.02011300000000,4641920209,0.53160000000000,121.39920383687073,31.17461956331953,0.16902376364618,
4639023879,-13.50000000000000,8.35069444444444,-0.03926990816987,-0.59988839285714,0.87000000000000,0.02078800000000,4642031396,0.53160000000000,121.39920194673853,31.17462855782939,0.13467504777194,
4639042760,-13.50000000000000,8.39411111111111,-0.03926990816987,-0.51618303571429,0.87000000000000,0.01888100000000,4642118173,0.53160000000000,121.39920010829655,31.17463747638830,0.15652949731882,
4639066114,-13.25000000000000,8.39411111111111,-0.03817907738738,-0.59988839285714,0.87000000000000,0.02335400000000,4642232340,0.53160000000000,121.39919797091002,31.17464647366403,0.17643334768137,
4639083908,-13.06250000000000,8.40277777777778,-0.03926990816987,-0.59988839285714,0.96000000000000,0.01779400000000,4642316934,0.53160000000000,121.39919611734523,31.17465543116854,0.17347113878218,
4639102758,-13.00000000000000,8.41144444444444,-0.03708824660488,-0.69754464285714,0.87000000000000,0.01885000000000,4642424831,0.53160000000000,121.39919388680626,31.17466437347554,0.15151257916839,
4639123426,-12.87500000000000,8.41144444444444,-0.03926990816987,-0.69754464285714,0.87000000000000,0.02066800000000,4642516877,0.53160000000000,121.39919202514531,31.17467340823697,0.14929866639116,
4639143071,-12.68750000000000,8.44616666666667,-0.03926990816987,-0.69754464285714,0.78000000000000,0.01964500000000,4642624092,0.53160000000000,121.39918988640682,31.17468242812719,0.17133223377110,
4639162773,-12.56250000000000,8.45486111111111,-0.04254240051736,-0.69754464285714,0.87000000000000,0.01970200000000,4642720651,0.53160000000000,121.39918785615262,31.17469147000958,0.20062067348785,
4639182805,-12.37500000000000,8.49827777777778,-0.04145156973487,-0.59988839285714,0.78000000000000,0.02003200000000,4642830177,0.58410000000000,121.39918537036776,31.17470033898022,0.23328498469006,
4639203818,-12.25000000000000,8.51561111111111,-0.04472406208235,-0.59988839285714,0.87000000000000,0.02101300000000,4642920276,0.58410000000000,121.39918340026206,31.17470954108493,0.19637299501413,
4639222795,-12.18750000000000,8.54166666666667,-0.04254240051736,-0.59988839285714,0.87000000000000,0.01897700000000,4643024389,0.58410000000000,121.39918087452759,31.17471861239245,0.06864078669950,
