gps_measurement,PHI_f
1.58068,1.58842
1.56611,1.58012
1.57612,1.56569
1.58049,1.57519
1.58991,1.57986
1.57464,1.58882
1.60975,1.57395
1.56778,1.6083
1.5687,1.56707
1.57642,1.56739
1.56038,1.57555
1.53851,1.55928
1.59532,1.53785
1.5701,1.59402
1.55121,1.56954
1.56558,1.55029
1.547,1.56485
1.55936,1.54623
1.56399,1.55879
1.57962,1.56339
1.5697,1.5792
1.57998,1.56923
1.55028,1.5796
1.56148,1.54999
1.55563,1.56114
1.55912,1.55531
1.54537,1.55888
1.54876,1.54509
1.56344,1.54854
1.55134,1.56314
1.55919,1.55128
1.5463,1.55904
1.55561,1.54623
1.54998,1.55546
1.55189,1.54995
1.54655,1.55186
1.54165,1.54658
1.53832,1.54175
1.54355,1.5384
1.55706,1.54359
1.54281,1.55706
1.55023,1.54297
1.55199,1.55024
1.55169,1.55198
1.57165,1.55169
1.57033,1.57155
1.56808,1.57035
1.59039,1.5681
1.58525,1.5903
1.56854,1.58529
1.57371,1.56865
1.56494,1.57376
1.57709,1.56498
1.59619,1.57711
1.55206,1.59623
1.55528,1.55254
1.54165,1.5554
1.54459,1.54186
1.55517,1.54464
1.55413,1.55512
1.54588,1.55415
1.54934,1.5461
1.54243,1.54952
1.52974,1.54273
1.57185,1.52992
1.55263,1.57184
1.55404,1.55291
1.56592,1.55453
1.55058,1.56627
1.56777,1.5513
1.55668,1.56823
1.58128,1.55811
1.57691,1.58244
1.59135,1.57962
1.60252,1.59341
1.61836,1.60643
1.61896,1.62129
1.61415,1.62402
1.61178,1.61781
1.61922,1.61771
1.6597,1.62335
