gps_lon,gps_lattime_stamp
121.39925794101923,31.17436907427270,4638864813
121.39925793606568,31.17436909205636,4638865396
121.39925792911174,31.17436911828873,4638865645
121.39925792489555,31.17436913312066,4638866010
121.39925760768688,31.17437033864872,4638866217
121.39925717708047,31.17437198004452,4638882907
121.39925684977135,31.17437323243629,4638905579
121.39925647062712,31.17437468772947,4638922846
121.39925608702467,31.17437616530798,4638942868
121.39925571259143,31.17437761241756,4638963153
121.39925533315764,31.17437908370542,4638982978
121.39925494166195,31.17438060781264,4639003091
121.39925458598641,31.17438199479707,4639023879
121.39925414719241,31.17438371491648,4639042760
121.39925381284283,31.17438502796328,4639066114
121.39925345960982,31.17438642206722,4639083908
121.39925307344791,31.17438795420240,4639102758
121.39925270661442,31.17438941349160,4639123426
121.39925233917539,31.17439088005939,4639143071
121.39925196533305,31.17439237429648,4639162773
121.39925157343288,31.17439394522930,4639182805
121.39925121872348,31.17439536676327,4639203818
121.39925084642907,31.17439686334635,4639222795
121.39925045217706,31.17439845224105,4639242728
121.39925007559874,31.17439996655458,4639263839
121.39924970258303,31.17440146784473,4639283917
121.39924934725069,31.17440292542490,4639303775
121.39924898321726,31.17440442143203,4639322992
121.39924860845289,31.17440594439260,4639342674
121.39924822376329,31.17440750170646,4639362679
121.39924786694870,31.17440899832514,4639383091
121.39924750588369,31.17441054908773,4639402627
121.39924714937646,31.17441209478158,4639422810
121.39924678639029,31.17441361713083,4639442886
121.39924640988765,31.17441519962081,4639462661
121.39924602922797,31.17441681536933,4639483173
121.39924567692852,31.17441833844477,4639504063
121.39924532638622,31.17441986857105,4639523698
121.39924497755274,31.17442139038037,4639543382
121.39924462551492,31.17442292480454,4639562926
121.39924426322517,31.17442449255612,4639582599
121.39924390330012,31.17442606616705,4639602670
121.39924354919735,31.17442762469161,4639622768
121.39924319651293,31.17442919211414,4639642628
121.39924281982205,31.17443086342932,4639662559
121.39924249194213,31.17443234870353,4639683780
121.39924212546785,31.17443400331521,4639702589
121.39924179004440,31.17443552502510,4639723518
121.39924142197864,31.17443718184430,4639742733
121.39924107336823,31.17443877735041,4639763636
121.39924072723846,31.17444035675407,4639783717
121.39924039471829,31.17444186078149,4639803572
121.39924004369418,31.17444345828093,4639822458
121.39923968294823,31.17444514653962,4639842486
121.39923934499474,31.17444672463679,4639863593
121.39923901603019,31.17444826059918,4639883298
121.39923866516128,31.17444988199560,4639902455
121.39923832333371,31.17445148345752,4639922671
121.39923795486173,31.17445319198391,4639942600
121.39923762649983,31.17445474122661,4639963849
121.39923729952837,31.17445631132206,4639983070
121.39923696727078,31.17445792349842,4640002513
