X,Y,PHI
347449.82570098363794,3450048.03008898720145,0.00000000000000
347449.67992808751296,3450048.98984794132411,0.00000000000000
347449.52691764384508,3450049.94294787291437,0.00000000000000
347449.32533881242853,3450050.92754594981670,0.00000000000000
347449.19788033259101,3450051.89720482751727,0.00000000000000
347448.99759824643843,3450052.86666862154379,0.00000000000000
347448.85980060073780,3450053.83445878513157,0.00000000000000
347448.66260054137092,3450054.81924352422357,0.00000000000000
347448.53069454175420,3450055.80332700209692,0.00000000000000
347448.35099821025506,3450056.78788788896054,0.00000000000000
347448.19837182527408,3450057.76005301298574,0.00000000000000
347448.03264858282637,3450058.75968567468226,0.00000000000000
347447.87173012923449,3450059.75082803471014,0.00000000000000
347447.68244582763873,3450060.75110820960253,0.00000000000000
347447.52014856116148,3450061.74658848578110,0.00000000000000
347447.32189792953432,3450062.74090391816571,0.00000000000000
347447.15895299194381,3450063.74495917093009,0.00000000000000
347446.96957626746735,3450064.74774801265448,0.00000000000000
347446.79057437693700,3450065.75282507995144,0.00000000000000
347446.56787908822298,3450066.73936325451359,0.00000000000000
347446.39486690587364,3450067.76211778121069,0.00000000000000
347446.16868862428237,3450068.77113976469263,0.00000000000000
347445.98295873845927,3450069.79899902315810,0.00000000000000
347445.78606032731477,3450070.79956396296620,0.00000000000000
347445.59935571654933,3450071.82454066537321,0.00000000000000
347445.40677322831471,3450072.83680983539671,0.00000000000000
347445.21444682596484,3450073.85707680415362,0.00000000000000
347445.05771782406373,3450074.90147601580247,0.00000000000000
347444.85307311499491,3450075.94541001832113,0.00000000000000
347444.65211918094428,3450077.00767387775704,0.00000000000000
347444.44367886136752,3450078.05373055813834,0.00000000000000
347444.26009005727246,3450079.10419044643641,0.00000000000000
347444.06412141828332,3450080.15506585454568,0.00000000000000
347443.86497906810837,3450081.20824346691370,0.00000000000000
347443.66725217131898,3450082.26042173802853,0.00000000000000
347443.46614030015189,3450083.32734444225207,0.00000000000000
347443.26602563797496,3450084.38027788326144,0.00000000000000
347443.05647646507714,3450085.44645788660273,0.00000000000000
347442.86584033339750,3450086.51561676338315,0.00000000000000
347442.60659090732224,3450087.54200813779607,0.00000000000000
347438.37373004597612,3450110.07264508819208,0.00000000000000
347438.18755134247476,3450111.17140275659040,0.00000000000000
347437.96954256040044,3450112.24007221590728,0.00000000000000
347437.80630469624884,3450113.36474210163578,0.00000000000000
347437.57324605947360,3450114.44004249945283,0.00000000000000
