X,Y,PHI
18.36636988836607,-0.67659744354087,-0.05812931838811
19.33553989333017,-0.73224354620018,-0.07469593428885
20.29968971194697,-0.77943255689114,-0.06121568037670
21.30469183231328,-0.78560802240038,-0.09226328100256
22.27976466735474,-0.86121866682445,-0.08445663876138
23.26969108865830,-0.86553634757379,-0.04444065278487
24.24507146586041,-0.93064480836778,-0.06007295663301
25.24935162129277,-0.94114314954840,-0.04988781843584
26.23945669317992,-1.01538216073210,-0.05666499594684
27.23990177035739,-1.04296039576094,0.02810736724561
28.22262616692681,-1.09446381458492,-0.03906237512278
29.23493122353421,-1.13882735575260,-0.07341109099702
30.23793652022851,-1.18613804536109,-0.05155664145014
31.25574254704070,-1.20758255277247,-0.03165279108759
32.26327702852207,-1.25444033326440,-0.03461499998678
33.27709931726761,-1.26587968908110,-0.05657355960057
34.29315759757058,-1.31387525468759,-0.05878747237780
35.31343726790185,-1.33574759267696,-0.03675390499786
36.33381248927998,-1.36824367885978,-0.00746546528111
37.34507525611201,-1.35415900978021,0.02519884592110
38.38150920020776,-1.39616754042365,-0.01171314375483
39.41549030068146,-1.38331989174401,-0.13944535206946
40.45954617887169,-1.41393963892595,0.00423857408588
41.47920380908333,-1.42799311663040,0.00824373495215
42.52064067965237,-1.45706366491496,-0.04819732263251
43.55085844083530,-1.47775791285851,0.04637831808240
44.58884856873510,-1.50035496929976,0.00435828453980
45.64309637565466,-1.56276694679573,0.00310735710382
46.70678780481283,-1.57820074412336,0.00762454011607
47.78765121206618,-1.60103242244086,0.07477033348105
48.85420365532316,-1.61319100698716,0.01812686611075
49.91993030335878,-1.65057466088813,-0.05359292883595
50.98862102931191,-1.67593137790487,-0.07006806171490
52.06021994627916,-1.69865845385005,-0.62158831778588
53.13054866443149,-1.72256399752816,-0.05571091843504
54.21600304414241,-1.74620360578185,-0.07133153767375
55.28756392469824,-1.76792890155504,0.00989465198855
56.37403466779649,-1.78315978395038,-0.00441944686155
57.45951282257766,-1.81751111570027,0.00427583768159
58.51732071478506,-1.77589403298947,-0.06623558047753
81.43638572180785,-2.28889663135403,-0.04362143539428
82.54990331578550,-2.33372398242194,-0.02386602730912
